                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0935,                 3.2231,                 1.2772,                0.53627,                0.14132,                0.12645,                0.10139,                0.88109,                 2.2809,                 1.1503,               0.070056,              0.0033271,              0.0033271
                      1,                 1.0424,                 2.4363,                 1.2099,                0.30229,                 0.1868,                0.11919,                0.08664,                 0.9701,                 2.2031,                 1.1442,                0.03999,              0.0065945,              0.0065945
                      2,                 1.0987,                 2.3755,                 1.2198,                0.24945,                0.21275,                 0.0861,                0.05612,                 1.0903,                 2.3823,                 1.2263,              0.0098585,              0.0097959,              0.0097959
                      3,                 1.2354,                 2.4681,                 1.2902,                 0.2709,                0.13056,                 0.0836,                0.05481,                 1.3239,                 2.3326,                 1.4075,               0.009703,               0.009703,               0.009703
                      4,                 1.3761,                 2.4949,                 1.3598,                0.75877,                0.04824,                0.07154,                0.04382,                 1.4011,                 2.8918,                 1.4109,               0.009703,               0.009703,               0.009703
                      5,                   1.39,                 2.5618,                 1.3773,                0.26222,                0.13168,                0.04595,                0.02903,                 1.3963,                 2.8468,                 1.4766,               0.009604,               0.009604,               0.009604
                      6,                 1.4188,                 2.4903,                 1.4472,                0.28451,                 0.1157,                  0.072,                0.04279,                  1.503,                 2.6771,                 1.5486,               0.009505,               0.009505,               0.009505
                      7,                 1.4439,                 2.5219,                 1.4461,                0.30747,                0.11186,                0.08882,                0.05514,                 1.4432,                 2.4255,                 1.5114,               0.009406,               0.009406,               0.009406
                      8,                 1.4321,                 2.4146,                 1.4619,                0.28698,                0.13777,                 0.0868,                0.05494,                 1.4726,                 2.4085,                 1.5726,               0.009307,               0.009307,               0.009307
                      9,                 1.4429,                 2.4057,                 1.4337,                0.43032,                0.10567,                0.08781,                0.05349,                 1.4259,                 2.4676,                 1.5202,               0.009208,               0.009208,               0.009208
                     10,                 1.4288,                 2.4815,                 1.4313,                 0.2725,                0.12334,                0.08917,                0.05755,                 1.3991,                 2.3719,                 1.5021,               0.009109,               0.009109,               0.009109
                     11,                 1.3642,                 2.3364,                 1.4108,                0.31817,                0.14014,                0.08698,                0.05852,                 1.3555,                 2.3488,                  1.488,                0.00901,                0.00901,                0.00901
